Country,% GDP,per capita,Physicians,Nurses,Total hospital beds,Discharges,ALOS,Life expectancy,Infant Mortality,Tobacco,Alcohol,Obesity
Australia,9.1,3670.2,3.08,10.06,3.73,15549.1,5.1,81.8,4.1,15.1,10.3,21.3
Austria,11,4394.8,4.78,7.67,7.63,26099.8,6.6,80.7,3.9,23.2,12.2,12.4
Belgium,10.5,3968.8,2.92,15.06,6.44,17840.7,8.1,80.3,3.5,20.5,10.8,13.8
Canada,11.4,4444.9,2.37,9.34,3.19,8260.4,7.7,80.8,5.1,16.3,8.2,17.5
Chile,8,1202.2,1.43,1.51,2.04,9936,5.6,79,7.9,29.8,8.6,12.1
Czech Republic,7.5,1883.5,3.58,8.06,7.01,19163,7.1,77.7,2.7,24.6,11.4,17.4
Denmark,11.1,4463.9,3.48,15.44,3.5,17153.7,4.6,79.3,3.4,20,10.3,13.4
Estonia,6.3,1293.8,3.24,6.13,5.33,16933.6,7,75.6,3.3,26.2,11.4,16.9
Finland,8.9,3250.9,3.27,9.58,5.85,18159.2,11.6,80.2,2.3,19,9.7,15.6
France,11.6,3974,3.27,8.45,6.42,16859.1,5.7,81.3,3.6,23.3,12,12.9
Germany,11.6,4338.4,3.73,11.27,8.25,23984.2,9.5,80.5,3.4,21.9,11.7,14.7
Greece,10.2,2913.7,6.13,3.31,4.85,19488.2,7,80.6,3.8,31.9,8.2,17.3
Hungary,7.8,1600.5,2.87,6.22,7.18,18501.6,5.1,74.3,5.3,26.5,11.5,19.5
Iceland,9.3,3309.3,3.6,14.54,5.79,14082.2,5.8,81.5,2.2,14.3,7.3,21
Ireland,9.2,3718.2,3.13,13.07,3.14,13155.5,6.1,81,3.8,29,11.9,15
Israel,7.5,2071.1,3.5,4.76,3.31,14638.5,4.5,81.7,3.7,18.6,2.4,16
Italy,9.3,2963.7,3.68,6.3,3.52,12751.2,6.7,82,3.4,23.1,6.9,10.3
Japan,9.5,3034.6,2.23,10.11,13.62,10708.9,18.2,83,2.3,19.5,7.3,..
Korea,7.1,2035.4,1.99,4.63,8.76,16886,14.2,80.7,3.2,22.9,8.95,2
Luxembourg,7.9,4786,2.77,11.1,5.37,14943.8,7.5,80.7,3.4,18,15.3,..
Mexico,6.2,915.7,2.03,2.48,1.64,5654.5,3.9,75.5,14.1,13.3,5.9,..
Netherlands,12,5056.2,2.92,8.4,4.66,11583.8,5.8,80.8,3.8,20.9,9.4,11.4
New Zealand,10.1,3022.1,2.61,10.03,2.74,14695.8,8.1,81,5.2,18.1,9.6,..
Norway,9.4,5387.6,4.07,14.39,3.3,17525.6,4.5,81.2,2.8,19,6.6,10
Poland,7,1388.7,2.18,5.26,6.59,20288.5,6,76.3,5,23.8,10.1,15.8
Portugal,10.7,2727.7,3.82,5.65,3.35,11247.3,5.9,79.8,2.5,18.6,11.4,15.4
Slovak Republic,9,2095.5,3.34,6.03,6.42,21196.7,7.3,75.2,5.7,19.5,10.7,15.1
Slovenia,9,2428.5,2.43,8.19,4.57,15606.1,6.3,79.5,2.5,18.9,10.3,16.4
Spain,9.6,3055.7,3.78,4.88,3.16,10246.2,6.8,82.2,3.2,26.2,11.4,16
Sweden,9.6,3757.7,3.8,11,2.73,16305.5,5.7,81.5,2.5,14,7.3,12.9
Switzerland,11.4,5269.6,3.81,16.03,4.97,16887,9.6,82.6,3.8,20.4,10,8.1
Turkey,6.1,913,1.69,1.6,2.52,14239.2,4.1,74.3,10.1,25.4,1.5,16.9
United Kingdom,9.6,3433.2,2.71,9.6,2.96,13595.9,7.7,80.6,4.2,21.5,10.2,..
United States,17.6,8232.9,2.44,10.95,3.08,13100.1,4.9,78.7,6.1,15.1,8.7,28.1
